Unnamed: 0,domain,phylum,class,order,family,genus,species,Breast (N),Breast (NAT),Breast (T),Lung (NAT),Lung (T),Melanoma (T),Pancreas (T),Ovary (N+NAT),Ovary (T),Bone (T),GBM (T),Colon (NAT),Colon (T)
5133,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,Planomicrobium okeanokoites,0,0,1,0,1,0,0,0,0,0,0,0,0
5150,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,Solibacillus silvestris,0,0,1,0,0,0,0,0,0,0,0,0,0
5179,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Jeotgalicoccus psychrophilus,0,0,1,0,0,0,0,0,0,0,0,0,0
5190,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,Salinicoccus qingdaonensis,0,0,0,0,0,0,0,1,0,0,0,0,0
5191,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,Salinicoccus roseus,0,0,1,0,0,0,0,0,0,0,0,0,0
5314,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus arlettae,0,0,1,1,0,0,0,0,0,0,0,0,0
5315,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,0,1,1,0,0,1,0,0,0,0,0,0,0
5318,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus caprae,0,1,1,0,0,0,0,0,0,0,0,0,0
5319,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus cohnii,0,1,1,0,0,0,0,0,1,0,0,0,0
5320,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus devriesei,0,0,1,0,0,0,0,0,0,0,0,0,0
5322,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,0,0,1,0,0,0,0,0,0,0,0,0,0
5324,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus haemolyticus,0,0,1,0,0,0,0,0,0,0,0,0,0
5327,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus lugdunensis,0,0,1,0,0,0,0,0,0,0,0,0,0
5330,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pasteuri,0,1,1,0,0,0,0,0,0,0,0,0,0
5331,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pettenkoferi,0,0,0,0,1,0,0,0,0,0,0,0,0
5333,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,0,1,1,0,1,0,0,0,0,0,0,0,0
