index,ID,Breast (NAT)_sum,Breast (N)_sum,Breast (N-FA)_sum,Breast (T)_sum,Lung (NAT)_sum,Lung (T)_sum,Melanoma (T)_sum,Pancreas (T)_sum,Ovary (NAT)_sum,Ovary (N- fallop)_sum,Ovary (T)_sum,Colon (NAT)_sum,Colon (T)_sum,Bone (T)_sum,GBM (T)_sum
151,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Actinobacteria_Actinobacteria_Acidimicrobiales_Acidimicrobiaceae_Ilumatobacter_Unknown species67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Actinobacteria_Actinobacteria_Acidimicrobiales_Iamiaceae_Iamia_Unknown species56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Actinobacteria_Actinobacteria_Actinomycetales_ACK-M1_Unknown genus15_Unknown species5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Actinobacteria_Actinobacteria_Actinomycetales_ACK-M1_Unknown genus46_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Actinobacteria_Actinobacteria_Actinomycetales_ACK-M1_Unknown genus80_Unknown species9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Actinobacteria_Actinobacteria_Actinomycetales_ACK-M1_Unknown genus83_Unknown species6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Actinobacteria_Actinobacteria_Actinomycetales_ACK-M1_Unknown genus83_Unknown species8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Actinobacteria_Actinobacteria_Actinomycetales_ACK-M1_Unknown genus85_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Actinobacteria_Actinobacteria_Actinomycetales_ACK-M1_Unknown genus85_Unknown species14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum_Actinobaculum schaalii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum_Actinobaculum urinale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum_Unknown species21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum_Unknown species35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum_Unknown species36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum_Unknown species37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum_Unknown species48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Actinomyces cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,90.7657137056615,0,0
223,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Actinomyces israelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Actinomyces meyeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Actinomyces timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Actinomyces turicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Unknown species265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
