Feature ID	Taxon	Confidence
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_74	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.956617128
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_75	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.952649836
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_76	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.952139587
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_77	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.948473091
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_78	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.963471482
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_79	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.960404871
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_80	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.959954447
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_81	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.957069585
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_82	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.964641373
Archaea_Crenarchaeota_MCG_Unknown_order_Unknown_family_Assigned_genus81_Assigned_species13_83	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_crenarchaeote	0.961581158
